Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
27-10-2022,196839.38,341319.71,131933.37,131933.37,3661.53,3807.87
28-10-2022,239117.38,311880.92,155317.38,155317.38,4109.47,4283.06
29-10-2022,237912.23,324350.12,155270.03,155270.03,4046.54,4246.44
30-10-2022,215837.36,331854.43,146217.86,146217.86,3590.87,3724.27
31-10-2022,274635.57,303167.83,166276.56,166276.56,4480.10,4651.35
01-10-2023,178835.58,300057.77,135287.37,135287.37,3775.48,3994.63
02-10-2023,218723.88,334680.64,153529.29,153529.29,3492.00,3642.72
03-10-2023,253685.99,326870.84,177504.80,177504.80,4098.32,4277.34
04-10-2023,269673.69,307726.12,178940.70,178875.81,4103.06,4228.01
05-10-2023,368359.99,240124.95,198241.19,198241.19,6514.61,6550.50
06-10-2023,388530.48,228685.54,202873.17,202873.17,7607.84,7537.80
07-10-2023,394972.24,203411.45,188431.23,188431.23,8325.19,8112.62
08-10-2023,382602.41,202236.65,186429.63,186429.63,8148.43,7925.18
09-10-2023,441309.59,149539.03,143609.96,143609.96,9130.98,8823.92
10-10-2023,604901.71,126382.42,126382.26,126382.26,10000.00,10000.00
11-10-2023,649255.56,120127.69,120127.55,120127.55,10000.00,10000.00
12-10-2023,620185.64,130495.04,130494.95,130494.95,10000.00,10000.00
13-10-2023,518872.48,107334.43,107334.34,107334.34,10000.00,10000.00
14-10-2023,469132.47,125376.43,120778.19,120778.19,9019.86,8862.03
15-10-2023,252442.99,172722.50,127806.50,127806.50,7057.53,7385.10
16-10-2023,356863.11,149297.32,135795.57,135795.57,8678.85,8623.28
17-10-2023,385620.23,159077.94,148381.86,148381.86,8969.45,8861.78
18-10-2023,321977.07,210682.29,166443.63,166443.63,7299.13,7116.37
19-10-2023,299526.21,220918.73,161138.16,160871.82,6909.05,6505.84
20-10-2023,319588.39,197713.50,159771.86,159771.86,7045.33,6697.91
21-10-2023,252449.20,213243.80,134689.76,134689.76,5454.03,5358.73
22-10-2023,196355.52,279328.36,135258.44,135258.44,4144.32,4331.96
23-10-2023,210215.36,282234.64,149734.65,149734.65,4268.34,4465.53
24-10-2023,166120.34,311542.27,113270.00,113270.00,3496.38,3496.05
25-10-2023,244747.64,272459.50,145032.54,145032.54,4670.04,4767.86
26-10-2023,244954.63,264342.96,153547.65,153547.65,4968.00,4946.12
27-10-2023,219270.54,275069.23,156221.17,156221.17,4832.88,4849.21
28-10-2023,245889.82,280501.25,156845.42,156845.42,4814.23,4912.64
29-10-2023,209706.91,302438.85,142802.61,142802.61,3892.28,3965.82
30-10-2023,256845.21,305169.80,164112.78,164112.78,4535.46,4533.55
31-10-2023,259749.91,274650.88,167865.36,167865.36,4773.41,4713.83
01-10-2024,274705.82,301876.47,170997.68,170997.68,5315.47,5088.45
02-10-2024,231076.63,359288.77,172467.91,172467.91,5012.80,5559.70
03-10-2024,289179.18,336082.99,159675.79,159675.79,5443.45,4975.57
04-10-2024,299769.48,326671.53,154733.47,154733.47,5403.28,5019.52
05-10-2024,218746.79,350479.76,138601.78,138601.78,4857.25,4539.84
06-10-2024,204832.81,375423.93,148338.98,148338.98,3728.56,3756.65
07-10-2024,238017.11,280669.46,126743.67,126743.67,5270.44,4678.75
08-10-2024,252196.74,248301.60,123439.27,123439.27,5476.20,5103.00
09-10-2024,262913.17,232633.25,127578.54,127578.54,5725.48,5266.30
10-10-2024,264287.79,266989.75,146625.17,146625.17,5686.63,5370.16
11-10-2024,208273.35,342730.59,149187.92,149187.92,3871.82,3887.56
12-10-2024,129714.87,385494.84,116025.91,116025.91,2671.33,2879.17
13-10-2024,158426.51,482812.69,123233.34,123233.34,2486.53,2585.28
14-10-2024,196809.86,418137.65,139052.28,139052.28,3166.80,3251.02
15-10-2024,229983.97,415762.74,155644.01,155644.01,3493.57,3594.53
16-10-2024,208640.42,410528.56,146464.16,146464.16,3558.80,3780.73
17-10-2024,204168.45,377986.57,148076.49,148076.49,3941.34,4346.66
18-10-2024,201219.26,421611.93,147202.68,147202.68,3787.09,4083.92
19-10-2024,212023.74,424060.28,152249.74,152249.74,3671.06,3972.85
20-10-2024,164866.30,476633.06,131665.12,131665.12,2995.75,3186.65
21-10-2024,209222.65,429989.35,144591.53,144591.53,3625.98,3828.44
22-10-2024,208655.87,435994.45,145755.60,145755.60,3632.64,3785.98
23-10-2024,199787.24,471991.25,143362.76,143362.76,3479.97,3658.38
24-10-2024,196207.08,521666.15,144305.31,144305.31,3315.47,3496.75
25-10-2024,204720.21,502734.11,155983.61,155983.61,3140.71,3396.89
26-10-2024,204259.67,489850.50,146661.39,146661.39,3334.11,3640.16
27-10-2024,151415.94,576071.51,120471.89,120471.89,2411.85,2593.49
28-10-2024,187238.86,502438.84,133467.08,133467.08,3173.77,3461.40
29-10-2024,190443.92,419280.77,129091.82,129091.82,3408.15,3742.41
30-10-2024,230315.12,413159.93,147970.76,147970.76,3800.10,4190.75
